rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
63,0.8658596959248082,0.0617305529563874,0.02705460768903,0.0056218905472636,0.003774732454396,0.0016543494395212,0.0019197422884586,0.0024012721267544,0.0012578632627015,0.3,0,20,200,200,12345,1
64,0.0076579025529964,0.0002071776104481,9.079959119410106e-05,4.601990049751243e-05,1.853631393956703e-05,8.123897772145166e-06,,,,1.0,0,20,200,200,12345,0
65,0.9718560281260732,0.003666854713356,0.0016070699349252,0.0246902985074626,0.043576825714028,0.0190983859298846,0.0127908968281416,0.0053785885378347,0.0030432229493755,0.4,0,20,200,200,12345,1
66,0.7030390524260521,0.0310985407464115,0.0136295364175645,0.0069863184079601,0.0046701656614341,0.0020467903454897,0.0024558373084677,0.0021427210696938,0.0009898866310668,0.0999999999999999,1,20,200,200,12345,1
67,0.9902941234952566,0.0022793403137106,0.0009989649375213,0.039799751243781,0.077733037469385,0.0340680057523003,0.0122673582629054,0.0054000869111929,0.0030553867991881,0.4,0,20,200,200,12345,1
68,0.8104406471298222,0.0303342825960632,0.0132945855149633,0.0054975124378109,0.0031876779876476,0.0013970614754689,0.0010944429166735,0.0016551208654832,0.0007442331052786,0.05,0,20,200,200,12345,1
69,0.990156652997642,0.0025202256640258,0.0011045375970666,0.0082151741293532,0.0087970371525667,0.0038554715224511,0.0075179532265294,0.0019369363506811,0.0011446562355726,0.4499999999999999,0,20,200,200,12345,1
70,0.9983879896543892,0.0011722568479954,0.0005137642158446,0.0099689054726368,0.0091779668024495,0.0040224213024406,0.0047308587305169,0.0032704489791972,0.0016550755389908,0.25,0,20,200,200,12345,1
71,0.9954493247167322,0.0062558322936461,0.0027417393878285,0.0079850746268656,0.003385855957108,0.0014839168000947,0.0019225715051691,0.0026880872116611,0.0011781061640055,0.0,0,20,200,200,12345,1
72,0.5154071735231491,0.0626651790659577,0.0274642256418809,0.0055099502487562,0.0050647047822863,0.0022197047391154,0.0034657359027997,4.548483326832392e-19,2.6879818743790367e-19,0.4499999999999999,0,20,200,200,12345,1
73,0.9920506557708212,0.0047500970824232,0.0020818218353002,0.0306666666666666,0.0193833223632659,0.0084951155810747,0.0093213270156704,0.0022964067073131,0.0010916424547478,0.15,0,20,200,200,12345,1
