rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed
78,0.9887185344605806,0.0041804016636221054,0.0018321418094499986,0.00895273631840796,0.007802154637641995,0.003419445035583617,0.0075251115706058995,0.001987696021761091,0.0011746532842607943,0.44999999999999996,0,20,200,200,12345
79,0.9885874636245042,0.0033838996754285136,0.0014830594218463355,0.008953980099502486,0.011044105185573708,0.004840292509337745,0.007433597354643509,0.0022228995869700663,0.0012577238414203022,0.4,0,20,200,200,12345
80,0.8182738484155481,0.019151420598405973,0.00839348015145019,0.006243781094527364,0.003177444645067189,0.0013925765153381337,0.0009241962407465937,0.0015863980094331423,0.0008028281612761779,0.25,1,20,200,200,12345
81,0.9871080244752937,0.009684357429853152,0.004244356780185132,0.009213930348258709,0.00965431691972385,0.004231190946130466,0.0046144193883295775,0.0031003044665901753,0.0017541623859885242,0.4,0,20,200,200,12345
82,0.960839959460527,0.011667598740351705,0.005113550607852996,0.021929104477611937,0.014769539707008634,0.006473036177125711,0.005059230116740787,0.00471535139721826,0.002120280570450795,0.050000000000000044,1,20,200,200,12345
83,0.9913097647317446,0.00918578995396687,0.0040258499497644986,0.0073681592039801,0.005538791751088314,0.0024274825142551184,0.004441947889071578,0.0020220389002678636,0.0010991928672585579,0.35,1,20,200,200,12345
84,0.9966850210224892,0.004464974199283451,0.0019568612221665758,0.014733830845771146,0.02743533549735105,0.01202406593088763,0.01074236838460066,0.0078506907908955,0.004441946472619073,0.4,0,20,200,200,12345
85,0.9962770596887582,0.008418380325023643,0.0036895178507711296,0.005000000000000001,8.898943666030574e-19,3.9001340211763674e-19,0.0,0.0,0.0,0.0,1,20,200,200,12345
86,0.996457823166964,0.00037998181235230234,0.00016653437187613018,0.30845895522388056,0.014366698822591758,0.006296483375197947,0.02299108684155825,0.00035852941123818213,0.00015713244255046425,0.0,0,20,200,200,12345
87,0.9542996150489129,0.04437806203823475,0.01944954323173037,0.010906716417910448,0.01195168751541207,0.005238058003138202,0.003461971233926807,0.0031903727446799075,0.001614551373089672,0.25,0,20,200,200,12345
88,0.8981136770823734,0.02853419858419134,0.012505663912675099,0.014144278606965174,0.010074839898309828,0.004415493267509377,0.0053275164292488405,0.00445775082879531,0.002184297906109702,0.19999999999999996,1,20,200,200,12345
89,0.9962342350582848,0.000358099914460348,0.0001569442072881588,0.2889713930348259,0.016407624260339912,0.00719095838629737,0.023049149087378158,0.0004149081247984039,0.00018184150320737466,0.0,0,20,200,200,12345
90,0.9962229984422102,0.0006803524938655659,0.0002981776272892031,0.08052238805970148,0.0,0.0,0.008958797346140275,0.0,0.0,0.0,0,20,200,200,12345
91,0.9584021713345358,0.005391507723546287,0.0023629324431286695,0.025024875621890548,0.01630841793084868,0.007147479295375406,0.0073074650576805495,0.0038748256113156476,0.001841975173032574,0.15000000000000002,0,20,200,200,12345
92,0.9889506949232254,0.002668632613548001,0.001169579810449786,0.006516169154228856,0.006961982000542696,0.003051223142223315,0.005535305986822035,0.0016561002744714254,0.0009786927202025063,0.44999999999999996,0,20,200,200,12345
93,0.9881083404647224,0.0030611599288322064,0.0013416124914099772,0.004254975124378108,0.006057192960912767,0.002654681861833098,0.005146786913590159,0.001885740919302194,0.0010251004408075336,0.35,0,20,200,200,12345
94,0.9785744393536495,0.0057551589466595604,0.002522309618705185,0.019985074626865672,0.011126465091021772,0.004876388329389401,0.006316795680885431,0.003000565288189639,0.0013150557192423828,0.0,0,20,200,200,12345
95,0.8663518651499797,0.04355466759389646,0.019088674705562497,0.005248756218905472,0.0033178404420664185,0.001454107686323859,0.0022279730803712533,0.0017233203969164999,0.0009027304290061152,0.30000000000000004,0,20,200,200,12345
96,0.014506762506367713,0.00248957036072224,0.0010911023180233455,0.0001480099502487562,9.040464527148219e-05,3.962158273252266e-05,nan,nan,nan,1.0,0,20,200,200,12345
97,0.9421633969562013,0.007217136658999807,0.00316304960179614,0.2628495024875622,0.04307278057460064,0.01887747840756894,0.021883480648675388,0.0011383716541397523,0.0005118743221657565,0.050000000000000044,1,20,200,200,12345
98,0.9570553714312646,0.01500369787846638,0.006575660520543559,0.015813432835820897,0.014372117170329391,0.006298858070795894,0.0030324426116897065,0.004172403906290727,0.0020444779140824563,0.19999999999999996,1,20,200,200,12345
99,0.9995288505711366,0.0006104566894380428,0.0002675444403609765,0.061309701492537304,0.16423399787622894,0.07197872315968959,0.018562928862557757,0.006444176779730517,0.005156415341392936,0.7,0,20,200,200,12345
100,0.6683844708492294,0.02294288419995776,0.01005516233951824,0.004784825870646766,0.004942998364125156,0.002166364549551405,0.0013862943611198909,0.0017574488664099392,0.0008893918383451282,0.25,0,20,200,200,12345
101,0.9963917112959984,0.0005056530934823302,0.000221612239251671,0.2964614427860696,0.0221301219814513,0.009698953591773939,0.022981051595573676,0.00040200187405732855,0.00017618508942500118,0.0,0,20,200,200,12345
102,0.996413981256714,0.0004830440353403865,0.0002117033826327953,0.09350746268656714,1.4238309865648918e-17,6.240214433882188e-18,0.008958797346140275,0.0,0.0,0.0,0,20,200,200,12345
103,0.9899018989993691,0.0015871998454587092,0.0006956210026712755,0.09523631840796018,0.12505254393498594,0.05480669384358989,0.013918450946203198,0.007628688942734646,0.004147002548406621,0.35,0,20,200,200,12345
